Index,Indicator Name,CSV Status,CSV Error Reason,Pine Script Status,Source URL,Last Updated
503,TraderLion's Relative Strength Line,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:54:04.141Z
504,STC Indicator - A Better MACD [SHK],OK,,OK,https://www.tradingview.com/v/WhRRThMI/,2026-07-07T20:57:02.160Z
505,Open Close Cross Alerts NoRepaint Version by JustUncleL,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:57:52.043Z
506,All Candlestick Patterns Identifier,OK,,OK,https://www.tradingview.com/v/VvUqVJUX/,2026-07-07T21:00:08.239Z
507,Open Interest Suite [Aggregated] - By Leviathan,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:00:54.505Z
508,Volume Profile Free Pro (25 Levels Value Area VWAP) by RRB,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:03:37.631Z
509,Trend Regularity Adaptive Moving Average [LuxAlgo],OK,,OK,https://www.tradingview.com/v/p8wGCPi6/,2026-07-07T21:07:24.412Z
510,Adaptive Trend Flow [QuantAlgo],FAIL,Download failed: Could not find Table view,SKIP,,2026-07-07T21:09:30.101Z
511,Liquidity Sentiment Profile (Auto-Anchored) [LuxAlgo],FAIL,Download failed: Could not find Table view,SKIP,,2026-07-07T21:11:37.485Z
512,Flux Charts SFX Algo (Premium),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:12:53.460Z
513,Optimized Trend Tracker Bands,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:14:30.664Z
514,ICT Liquidity Sweep/Swing Fail Pattern V.1,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:16:11.119Z
515,Vervoort Heiken-Ashi LongTerm Candlestick Oscillator [LazyBear],OK,,OK,https://www.tradingview.com/v/4zuhGaAU/,2026-07-07T21:18:17.284Z
516,Trend Meter,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:19:03.696Z
517,SuperTrend Oscillator [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:21:33.248Z
518,Linear Regression ++,OK,,OK,https://www.tradingview.com/v/HaVyhZnP/,2026-07-07T21:23:40.778Z
519,Market Cipher B  Free version with Buy and sell,OK,,OK,https://www.tradingview.com/v/KVfgBvDd/,2026-07-07T21:25:45.906Z
520,Swing Breakout Sequence [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:26:31.227Z
521,Protected Highs & Lows [TFO],OK,,OK,https://www.tradingview.com/v/sydB6MPd/,2026-07-07T21:28:39.587Z
522,Market Order Bubbles - By Leviathan,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:29:29.549Z
523,Volume Sentiment Breakout Channels [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:30:16.507Z
524,Liquidity Voids (FVG) [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:31:06.769Z
525,Range Average Retest Model [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:31:53.079Z
526,Signal Forge [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:33:31.310Z
527,Market Structure Trailing Stop [LuxAlgo],OK,,OK,https://www.tradingview.com/v/c4Z9xThG/,2026-07-07T21:36:27.642Z
528,AI Trend Navigator [K-Neighbor],OK,,OK,https://www.tradingview.com/v/30aLnPNh/,2026-07-07T21:38:30.487Z
529,Liquidity Sweep Filter [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:39:16.002Z
530,SwingArm ATR Trend Indicator,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:40:04.128Z
531,ICT Everything,OK,,OK,https://www.tradingview.com/v/T6KkMfK6/,2026-07-07T21:43:42.791Z
532,Auto Trendline with Alert [TORYS],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:44:28.980Z
533,Dynamic Structure Indicator,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:45:15.969Z
534,Breaker Blocks + Order Blocks confirm [TradingFinder] BBOB Alert,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:46:53.137Z
535,N Bar Reversal Detector [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:47:40.303Z
536,Machine Learning: kNN-based Strategy,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:48:27.734Z
537,UCS_Top & Bottom Candle,OK,,OK,https://www.tradingview.com/v/wkUMNJQm/,2026-07-07T21:50:34.937Z
538,RSI Multi Length [LuxAlgo],OK,,OK,Not Available,2026-07-07T21:52:42.357Z
539,Pure Price Action Order & Breaker Blocks [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T21:53:27.195Z
540,[@btc_charlie] Trader XO Macro Trend Scanner,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:55:09.857Z
541,Inverse Fisher Transform on STOCHASTIC,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-07T21:57:11.638Z
542,Price Divergence Detector V3 revised by JustUncleL,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:57:59.159Z
543,Ichimoku EMA Bands,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T21:59:39.936Z
544,Anti-Volume Stop Loss,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:00:27.601Z
545,Multi-Layer Volume Profile [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:02:58.064Z
546,Zigzag Trend/Divergence Detector,OK,,OK,https://www.tradingview.com/v/vnzbp63L/,2026-07-07T22:05:55.396Z
547,Liquidity Thermal Map [BigBeluga],OK,,OK,https://www.tradingview.com/v/G30eUYdH/,2026-07-07T22:08:01.977Z
548,Market Flow Trend Lines & Liquidity [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:08:47.105Z
549,Auto Fib Channels by DGT,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:09:35.948Z
550,RCI3lines,OK,,OK,https://www.tradingview.com/v/ODobP95E/,2026-07-07T22:12:41.461Z
551,Market Cipher A free version 1.1,OK,,OK,https://www.tradingview.com/v/cAw5GEAB/,2026-07-07T22:14:48.590Z
552,vdub_Trend_Master_v  /  v1 / v2 / v3,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:15:35.068Z
553,Smart Fibonacci with ZigZag,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:16:21.863Z
554,Fibonacci Time-Price Zones,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:17:59.815Z
555,IA-SOL-Upside-Model,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:18:45.990Z
556,Trend Range Detector (Zeiierman),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:20:27.207Z
557,Fair Value Gap by Anche,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:21:13.793Z
558,SWING TRADE SIGNALS,OK,,OK,https://www.tradingview.com/v/M7FfrxRY/,2026-07-07T22:23:21.331Z
559,Technical Ratings,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:24:58.195Z
560,WICK.ED Fractals,REJECTED,Null/empty/NaN value found in indicator columns at row 300,SKIP,,2026-07-07T22:25:44.691Z
561,Moon Phases Strategy [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:26:37.017Z
562,AlphaTrend Strategy,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:27:29.364Z
563,Donchian Trend Ribbon,OK,,OK,https://www.tradingview.com/v/PxLqmP8o/,2026-07-07T22:29:36.341Z
564,[RS]ZigZag Multiple Methods - Forecast - patterns - labels,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:30:21.754Z
565,Stochastic Momentum Index (SMI),OK,,OK,https://www.tradingview.com/v/HLbqdCku/,2026-07-07T22:34:06.222Z
566,Supply Demand Profiles [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:34:51.369Z
567,Bollinger Bands Fibonacci ratios,OK,,OK,https://www.tradingview.com/v/bCy9urOG/,2026-07-07T22:36:55.776Z
568,Vdubus Divergence Wave Pattern Generator V1,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:38:31.888Z
569,Automatic Support & Resistance,OK,,OK,https://www.tradingview.com/v/HOx9WOnJ/,2026-07-07T22:41:32.518Z
570,Future Trend Channel [ChartPrime],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:42:18.444Z
571,Agressive Scalper Strategy,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:45:05.007Z
572,Cumulative Volume Delta Divergence [TradingFinder] Periodic EMA,OK,,OK,https://www.tradingview.com/v/HvOAnchA/,2026-07-07T22:47:12.289Z
573,RSI Entry Engine,OK,,OK,https://www.tradingview.com/v/RQ9xN1EZ/,2026-07-07T22:49:19.050Z
574,"Stochastic + RSI, Double Strategy (by ChartArt)",REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:50:10.558Z
575,Auto Harmonic Pattern - Extreme [Trendoscope],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:51:48.001Z
576,Realtime Footprint,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:52:33.425Z
577,"Trend Lines for RSI, CCI, Momentum, OBV",OK,,OK,https://www.tradingview.com/v/TDat20sO/,2026-07-07T22:54:39.972Z
578,Isolated Peak and Bottom (Tuncer ŞENGÖZ)  by KıvanÇ fr3762,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:55:24.846Z
579,Targets For Many Indicators [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:56:10.792Z
580,Indicators: Better Volume Indicator & InstrumentVolume,OK,,OK,https://www.tradingview.com/v/LfVJhuir/,2026-07-07T22:58:17.744Z
581,AG FX - Watermark,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T22:59:03.178Z
582,Trend Lines [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T22:59:50.632Z
583,Support & Resistance Pro Toolkit [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T23:00:38.893Z
584,Comprehensive Trading Toolkit [BigBeluga],FAIL,Download failed: Could not find Table view,SKIP,,2026-07-07T23:02:51.245Z
585,Optimized Trend Tracker STRATEGY & SCREENER,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:03:45.734Z
586,"STD-Filtered, N-Pole Gaussian Filter [Loxx]",OK,,OK,https://www.tradingview.com/v/i4xZNAoy/,2026-07-07T23:07:52.550Z
587,SSL HYBRID Advanced,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:08:39.843Z
588,Moving Average ADX,OK,,OK,https://www.tradingview.com/v/owwws7dM/,2026-07-07T23:10:50.836Z
589,Hull Butterfly Oscillator [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:11:35.358Z
590,MA Strategy Emperor insiliconot,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:12:21.278Z
591,Orderblock Footprints [AlgoAlpha],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T23:13:08.045Z
592,Bollinger Bands Stochastic RSI Extreme Signal,OK,,OK,https://www.tradingview.com/v/KGYEY6k6/,2026-07-07T23:15:12.340Z
593,FX4Model° [fx4_living x toodegrees],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T23:15:57.047Z
594,Kalman Trend Levels [BigBeluga],OK,,OK,https://www.tradingview.com/v/DZo2pzhg/,2026-07-07T23:17:59.934Z
595,Average Sentiment Oscillator,OK,,OK,https://www.tradingview.com/v/hz1PKu3G/,2026-07-07T23:20:02.853Z
596,Ichimoku Oscillator,OK,,OK,https://www.tradingview.com/v/ypZ7TSjN/,2026-07-07T23:22:05.744Z
597,ICT Killzones [28Trades],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:22:51.284Z
598,AK  TREND ID v1.00,OK,,OK,https://www.tradingview.com/v/E9LpD2M9/,2026-07-07T23:24:55.788Z
599,Machine Learning Moving Average [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:25:40.213Z
600,_CM_High_Low_Open_Close_Weekly-Intraday,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:26:26.124Z
601,Institutional OrderBlock Pressure,OK,,OK,https://www.tradingview.com/v/LL7EEuVI/,2026-07-07T23:30:01.649Z
602,Directional Movement Index + ADX & Keylevel Support,OK,,OK,https://www.tradingview.com/v/38loM0lA/,2026-07-07T23:32:04.833Z
603,TTM Squeeze Pro,OK,,OK,https://www.tradingview.com/v/0drMdHsO/,2026-07-07T23:34:06.579Z
604,RSI Based Automatic Supply and Demand,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:34:51.358Z
605,Volumatic Support/Resistance Levels [BigBeluga],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:36:27.131Z
606,ICT Anchored Market Structures with Validation [LuxAlgo],FAIL,Download failed: Could not find Table view,SKIP,,2026-07-07T23:38:30.219Z
607,Consolidation Range with Signals (Zeiierman),OK,,OK,https://www.tradingview.com/v/CrFfQD8L/,2026-07-07T23:40:35.212Z
608,%R Trend Exhaustion [upslidedown],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:41:20.507Z
609,MACD ReLoaded,OK,,OK,https://www.tradingview.com/v/PhtqdGBM/,2026-07-07T23:45:04.992Z
610,Machine Learning & Optimization Moving Average (Expo),REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T23:45:56.528Z
611,UCS_Murrey's Math Oscillator_V2,OK,,OK,https://www.tradingview.com/v/VQPnbiQd/,2026-07-07T23:50:11.644Z
612,EMA Ribbon [Krypt],OK,,OK,https://www.tradingview.com/v/T0Pdlvtu/,2026-07-07T23:52:28.758Z
613,Periodic Linear Regressions [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 172,SKIP,,2026-07-07T23:53:18.716Z
614,Multiple Indicators Screener,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T23:54:09.660Z
615,Next Candle Predictor,OK,,OK,https://www.tradingview.com/v/V8X0KT7b/,2026-07-07T23:56:27.076Z
616,Higher Time Frame Support/Resistance [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T23:57:16.009Z
617,DeltaFlow Volume Profile [BigBeluga],FAIL,Download failed: Could not find Table view,SKIP,,2026-07-07T23:59:36.952Z
618,Open Liquidity Heatmap [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:00:27.584Z
619,MOST + Moving Average Screener,OK,,OK,https://www.tradingview.com/v/w5W8qi8k/,2026-07-08T00:02:40.490Z
620,Fair Value Gaps (Volumetric) | Flux Charts,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:03:29.431Z
621,CCI Stochastic and a quick lesson on Scalping & Trading Systems,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:04:20.206Z
622,Inverse Fisher Transform on RSI,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-08T00:07:27.224Z
623,HyperTrend [LuxAlgo],OK,,OK,https://www.tradingview.com/v/Bcufg8oX/,2026-07-08T00:09:38.640Z
624,Auto Fib Speed Resistance Fans by DGT,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:10:28.676Z
625,Squeeze Momentum Indicator [LazyBear] Version2 by KıvanÇ fr3762,OK,,OK,https://www.tradingview.com/v/NVzKGYFJ/,2026-07-08T00:12:42.298Z
626,Session Streaks [LuxAlgo],OK,,OK,https://www.tradingview.com/v/qJ7Gcudl/,2026-07-08T00:14:56.296Z
627,Swing Data - ADR% / RVol / PVol / Float % / Avg $ Vol,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:15:45.512Z
628,Volume Flow v3,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:16:36.370Z
629,20 years old Turtles strategy still work!!,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:17:33.725Z
630,Candle Range Theory | Flux Charts,OK,,OK,https://www.tradingview.com/v/d1sWQSxX/,2026-07-08T00:19:44.672Z
631,MACD DEMA,OK,,OK,https://www.tradingview.com/v/NL1z2SYw/,2026-07-08T00:21:56.556Z
632,Targets For Overlay Indicators [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:22:45.540Z
633,Weis Wave Volume,OK,,OK,https://www.tradingview.com/v/QrCFs0K2/,2026-07-08T00:25:03.263Z
634,Orderblocks (Nephew_Sam_),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:25:53.968Z
635,Godmode 4.0.2 [Supply/Demand],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:26:43.501Z
636,RSI Strategy,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:27:39.846Z
637,Accurate Swing Trading System,OK,,OK,https://www.tradingview.com/v/vkAechsb/,2026-07-08T00:29:51.627Z
638,Breakout Targets [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:30:40.174Z
639,CVD - Cumulative Volume Delta Candles,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:31:30.820Z
640,Super Scalper - 5 Min 15 Min,OK,,OK,https://www.tradingview.com/v/4ORGCiTh/,2026-07-08T00:34:39.153Z
641,Trade & Risk Management Tool (Expo),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:35:28.080Z
642,MTF Break of Structure(BOS) & Market Structure Shift(MSS),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:36:18.611Z
643,TKP T3 Trend With Psar Barcolor,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:37:07.851Z
644,ICT Algorithmic Macro Tracker° (Open-Source) by toodegrees,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:37:57.732Z
645,Candlestick Structure [LuxAlgo],OK,,OK,https://www.tradingview.com/v/xkLUzGBp/,2026-07-08T00:41:07.971Z
646,Previous Day High and Low + Separators Daily/Weekly,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:42:52.074Z
647,Liquidations Zones [ChartPrime],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:45:25.123Z
648,High Volume Points [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:46:14.489Z
649,Smart Money Concepts (Advanced),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:48:00.564Z
650,Dynamic Linear Regression Channels,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:50:25.574Z
651,Binary Option Arrows (example) [TheMightyChicken],OK,,OK,https://www.tradingview.com/v/ioSbnNIX/,2026-07-08T00:52:38.061Z
652,Parabolic RSI [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:53:28.244Z
653,Big Snapper Alerts R2.0 by JustUncleL,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:54:19.050Z
654,One Shot One Kill ICT [TradingFinder] Liquidity MMXM + CISD OTE,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:55:08.918Z
655,Trading Sessions - Sonarlab,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T00:55:59.363Z
656,Backtest Adapter,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:56:52.723Z
657,Inverse Fisher Transform COMBO STO+RSI+CCIv2  by KIVANÇ fr3762,FAIL,Download failed: No results for Inverse Fisher Transform COMBO STO+RSI+CCIv2  by KIVANÇ fr3762,SKIP,,2026-07-08T00:58:24.983Z
658,Liquidity Location Detector [BigBeluga],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T00:59:16.327Z
659,Super Guppy R1.0 by JustUncleL,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:01:04.947Z
660,VWAP Stdev Bands v2 Mod UPDATE,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:03:51.825Z
661,Waddah Attar Explosion V2 [SHK],OK,,OK,https://www.tradingview.com/v/d9IjcYyS/,2026-07-08T01:08:21.376Z
662,"Bollinger + RSI, Double Strategy (by ChartArt)",OK,,OK,https://www.tradingview.com/v/zopumZ8a/,2026-07-08T01:13:50.483Z
663,MOST on RSI,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:14:45.963Z
664,Range Breakout [BigBeluga],REJECTED,Null/empty/NaN value found in indicator columns at row 13,SKIP,,2026-07-08T01:15:42.727Z
665,Quarterly Cycles [Daye's Theory],FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-08T01:18:24.671Z
666,MACD Support and Resistance [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:19:23.177Z
667,WaveTrend Oscillator + Divergence  + Direction Detection +Alerts,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:21:29.007Z
668,Supply and Demand Anchored [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:22:28.282Z
669,Order Blocks W/ Realtime Fibs [QuantVue],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:23:23.101Z
670,Supertrend - Ladder ATR,OK,,OK,https://www.tradingview.com/v/8EZaD3CW/,2026-07-08T01:25:42.610Z
671,AI-EngulfingCandle,OK,,OK,https://www.tradingview.com/v/58m8mjwG/,2026-07-08T01:28:00.761Z
672,Channels With Patterns [ChartPrime],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:30:56.289Z
673,Ehlers MESA Adaptive Moving Average [LazyBear],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:31:53.329Z
674,Daily Close Comparison Strategy (by ChartArt via sirolf2009),OK,,OK,https://www.tradingview.com/v/XK8XbDhT/,2026-07-08T01:35:03.806Z
675,LOWESS (Locally Weighted Scatterplot Smoothing) [ChartPrime],OK,,OK,https://www.tradingview.com/v/hyeoDyZn/,2026-07-08T01:37:26.341Z
676,SMT Divergence [TFO],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:38:12.744Z
677,Pivot Trendlines with Breaks [HG],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:40:41.938Z
678,"Logistic RSI, STOCH, ROC, AO, ... by DGT",REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-08T01:41:33.195Z
679,Screener - Mean Reversion Channel,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:42:20.689Z
680,Swift Algo X,REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-08T01:43:37.761Z
